tool;type;value;source
Sort My List;keyword;alphabetizing;TERESAH
Emacs;description;Although at heart a text editor, Emacs is highly customisable and can be used for many tasks, including XML editing (it has an XML 'mode'). Emacs requires an initial invstment of time, but because it can be customised for individual needs, with macros and key bindings, once learned it is a highly efficient way to edit documents. XML parsers and authoring tools are available as add-ons.;HistoryOnline
XMLSpy;description;Altova XMLSpy is designed for authoring and validating XML documents, creating and debugging XML Schemas and Json files, and for handling the XSL suite of technologies, such as XSLT and XPath. Graphical and text-based views of XML files are offered. An educational licence does not appear to be available, but 30-day free trials can be requested.;HistoryOnline
Amazon Web Services;description;"Amazon Web Services offers a range of cloud computing services, many of them aimed at the commercial sector (for example, a micropayments system); some of the services of interest to historical researchers may be its cloud database services, online file storage, and text mining tools such as Hadoop. Costs vary greatly but an advantage of cloud services is that space is usually charged according to what is used (as opposed to buying a physical server, which may not be fully used by remains a fixed cost).";HistoryOnline
Snap Pro X;developer;Ambrosia Software Inc.;TERESAH
ABBYY Fine Reader;description;"An (optical character recognition) engine for creating editable and searchable electronic files from scanned paper documents, PDFs and digital photographs.
Features:
Recognition of Digital Camera and Mobile Phone Camera Images
Comprehensive Language Support
Complete Integration with Popular Office Applications
PDF conversion, archiving and security";BambooDirt
Fedora Commons;description;An architectural framework upon which a digital asset management (DAM) may be built. Fedora Commons (Flexible Extensible Digital Object Repository Architecture) is widely used in the academic sector as a basis for the creation of an digital library, archive, or repository system. Fedora provides a set of software tools to ingest, manage and deliver digital objects. Fedora Objects may contain many types of information, including descriptive, technical, preservation and relationship metadata. The Fedora server architecture exposes a set of Application Programming Interfaces (APIs) for submission, management, access and search.;ArtsHumanities
Adobe Dreamweaver;description;An editing tool for web content. Dreamweaver offers a graphics-based (What You See Is What You GET) and code-based user interface for the development of web pages and sites. The tool may be used to simplify the process of web site development (in comparison to creation of individual web pages), through the provision of a templating system that allows single-source update of shared code and layout across entire sites without server-side includes or scripting.;ArtsHumanities
IrfanView;description;"An image viewer and converter with simple editing features; can also generate slideshows and save them as .exe files. Includes support for Photoshop filters.";BambooDirt
Textalyser;description;An online text analysis tool that provides detailed statistics of your text, including features like the anlysis of words groups, finding out keyword density, analysing the prominence of word or expressions.;BambooDirt
GeoCommons;description;An open repository of data and maps. A mixture of free and paid-for services (the premium part is called GeoIQ). Data can be uploaded from csv files or from URLs. KML and other formats are supported. Geodata can include UK postcodes, but may work best with US data. Different data sets can be layered and ordered on a variety of base maps. 20 MB of private data and 10 private maps are allowed to free registrations.;HistoryOnline
Map Warper;description;An open source map warping, geo rectifying service, written in Ruby and Rails.;BambooDirt
Subversion Version System (SVN);description;An open source version control system that is used to manage multiple versions of data objects in a controlled environment. Access and revision to objects are carefully controlled, to prevent unauthorised access and alteration.;ArtsHumanities
ABBYY Fine Reader;keyword;analysis;TERESAH
Anastasia;keyword;analysis;TERESAH
ArcExplorer;keyword;analysis;TERESAH
ArcGis;keyword;analysis;TERESAH
Archeosurveyor;keyword;analysis;TERESAH
ArcView;keyword;analysis;TERESAH
ARTISAN;keyword;analysis;TERESAH
Audacity;keyword;analysis;TERESAH
BBEdit;keyword;analysis;TERESAH
Chicken of the VNC;keyword;analysis;TERESAH
Collin´s Parser;keyword;analysis;TERESAH
Concordance;keyword;analysis;TERESAH
epcEdit;keyword;analysis;TERESAH
ERDAS Imagine;keyword;analysis;TERESAH
Exceed;keyword;analysis;TERESAH
GeoParser;keyword;analysis;TERESAH
Lextek;keyword;analysis;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;keyword;analysis;TERESAH
MantisBT;keyword;analysis;TERESAH
Melita;keyword;analysis;TERESAH
Mercury Amira;keyword;analysis;TERESAH
MicrOsiris;keyword;analysis;TERESAH
MMax2;keyword;analysis;TERESAH
MONK;keyword;analysis;TERESAH
MySQL;keyword;analysis;TERESAH
Netvibes;keyword;analysis;TERESAH
NVivo;keyword;analysis;TERESAH
OpendTect;keyword;analysis;TERESAH
OxCal;keyword;analysis;TERESAH
Pie-Slice;keyword;analysis;TERESAH
Praat;keyword;analysis;TERESAH
RivEx;keyword;analysis;TERESAH
Sample size calculator;keyword;analysis;TERESAH
SAS Analytics;keyword;analysis;TERESAH
Solr;keyword;analysis;TERESAH
SPITBOL;keyword;analysis;TERESAH
SPSS Statistics;keyword;analysis;TERESAH
SQL Server;keyword;analysis;TERESAH
StatCrunch;keyword;analysis;TERESAH
Statistical Lab;keyword;analysis;TERESAH
TextPad;keyword;analysis;TERESAH
ToadHMS;keyword;analysis;TERESAH
Wavesurfer;keyword;analysis;TERESAH
Wufoo;keyword;analysis;TERESAH
Xalan;keyword;analysis;TERESAH
XSugar;keyword;analysis;TERESAH
Zoomerang;keyword;analysis;TERESAH
ANTHROPAC;developer;Analytic Technologies;TERESAH
WordStat - Content Analysis & Text Mining Software;keyword;Analyze texts;TERESAH
MALLET;developer;Andrew McCallum;TERESAH
MONK;developer;Andrew W. Mellon Foundation, University of Alberta & University of Illinois at Urbana-Champaign;TERESAH
MIT App Inventor;platform;Android;TERESAH
Netvibes;platform;Android;TERESAH
Qigga;platform;Android;TERESAH
Quantum GIS;platform;Android;TERESAH
Rehersal Assistant;platform;Android;TERESAH
SARIT;platform;Android;TERESAH
Scanner for Zotero;platform;Android;TERESAH
Scanner for Zotero;keyword;Android;TERESAH
Zandy;platform;Android;TERESAH
Zandy;keyword;Android;TERESAH
Scanner for Zotero;description;Android app that scans the ISBN barcode on a book and pulls the bibliographic metadata into your Zotero library.;BambooDirt
Adobe After Effects;keyword;Animation;TERESAH
Adobe After Effects;keyword;Animation;TERESAH
Adobe After Effects;keyword;Animation;TERESAH
Adobe Flash;keyword;Animation;TERESAH
Adobe Flash;keyword;Animation;TERESAH
ERDAS Imagine;keyword;Animation;TERESAH
FocusOPEN Digital Asset Manager;keyword;Animation;TERESAH
Xtranormal;keyword;Animation;TERESAH
Publish or Perish;developer;Anne-Wil Harzing;TERESAH
Annie ;description;Annie is open-source information extraction software. It offers standard Natural Language Processing tasks, such as tokenisation, sentence splitting and named entity recognition - the latter being its main purpose. It can be used via an API or downloaded. It uses the GATE (General Architecture for Text Engineering) software. Its online trial feature (where users can enter a url and have the software perform named entitiy on that webpage) is particularly suitable for introducing named entity recognition as a concept.;HistoryOnline
ANNIS;description;"ANNIS2 is an open source, versatile web browser-based search and visualization architecture for complex multilevel linguistic corpora with diverse types of annotation. ANNIS, which stands for ANNotation of Information Structure, has been designed to provide access to the data of the SFB 632 (""Information Structure: The Linguistic Means for Structuring Utterances, Sentences and Texts""). Since information structure interacts with linguistic phenomena on many levels, ANNIS2 addresses the SFB's need to concurrently annotate, query and visualize data from such varied areas as syntax, semantics, morphology, prosody, referentiality, lexis and more. For projects working with spoken language, support for audio / video annotations is also required.
In the SFB, a number of different projects collect and annotate data according to the common SFB Annotation Standard. This data, which is annotated using both automatic taggers/parsers and a small set of manual annotation tools (EXMARaLDA, ELAN, annotate/Synpathy, MMAX, RSTTool), is mapped onto the encoding standard of the SFB, PAULA (Potsdamer Austauschformat fÃ¼r Linguistische Annotation / Potsdam Interchange Format for Linguistic Annotation), a stand-off multilevel XML format, which serves as the basis for further processing. ANNIS2 provides the means for visualizing and retrieving this data. The diagram below illustrates the data flow from multiple annotation tools into the merged XML format and the ANNIS application.";BambooDirt
Annotator;keyword;AnnotateIt;TERESAH
AnnotateIt;description;AnnotateIt lets users annotate anything anywhere on the web.;BambooDirt
A.nnotate.com;tool-type;Annotation;TERESAH
AnnotateIt;tool-type;Annotation;TERESAH
Annotator´s Workbench;tool-type;Annotation;TERESAH
Annotorious;tool-type;Annotation;TERESAH
Annozilla (Annotea on Mozilla);tool-type;Annotation;TERESAH
Annozilla (Annotea on Mozilla);keyword;annotation;TERESAH
Awesome Highlighter;tool-type;Annotation;TERESAH
Fleck;tool-type;Annotation;TERESAH
Google Notebook;tool-type;Annotation;TERESAH
MMax2;keyword;annotation;TERESAH
MyStickies;tool-type;Annotation;TERESAH
Notational Velocity;tool-type;Annotation;TERESAH
OneNote;tool-type;Annotation;TERESAH
Pear Note;tool-type;Annotation;TERESAH
Pliny;tool-type;Annotation;TERESAH
Project Pad;tool-type;Annotation;TERESAH
Projects;keyword;annotation;TERESAH
Reframe It;tool-type;Annotation;TERESAH
Rehersal Assistant;keyword;annotation;TERESAH
Scribe;tool-type;Annotation;TERESAH
SharedCopy;tool-type;Annotation;TERESAH
SimpleTCT;tool-type;Annotation;TERESAH
Skim;tool-type;Annotation;TERESAH
Springpad;tool-type;Annotation;TERESAH
Trailfire;keyword;annotation;TERESAH
Vertov;tool-type;Annotation;TERESAH
VideoANT;tool-type;Annotation;TERESAH
VoodooPad;tool-type;Annotation;TERESAH
Xournal;tool-type;Annotation;TERESAH
YahooNotepad;tool-type;Annotation;TERESAH
Annotation Graph Toolkit (AGTK);description;Annotation Graphs are a formal framework for representing linguistic annotations of time series data. (Note: last updated 2007);BambooDirt
Annotator;description;Annotator is an open source JavaScript library that developers can include on their pages (along with jQuery) to allow users to annotate content. Annotations can be stored in AnnotateIt.;BambooDirt
Annotum;description;Annotum is an open-source, open-process, open-access scholarly authoring and publishing platform based on WordPress.;BambooDirt
Annozilla (Annotea on Mozilla);description;Annozilla allows you to view and create annotations associated with a web page. To use Annozilla you need to install the packages and get set up with an account with the W3C test server.;BambooDirt
Pycoon;developer;anrienord;TERESAH
BBEdit;keyword;ANSI C;TERESAH
GDAL;keyword;ANSI C;TERESAH
MySQL;keyword;ANSI SQL;TERESAH
SQL Server;keyword;ANSI SQL;TERESAH
AnSWR;description;AnSWR supports qualitative analysis of word-based data. This entails a set of methods for organizing, displaying, processing, summarizing, and interpreting information.;BambooDirt
AntConc;description;AntConc is free concordance software.;BambooDirt
Anthologize;description;Anthologize is a WordPress plugin that allows users to outline, order, and edit content into a single volume that can be exported as PDF, TEI or epub.;BambooDirt
ANTHROPAC;description;ANTHROPAC is a menu-driven DOS program for collecting and analyzing data on cultural domains. The program assists with the collection and analysis of structured qualitative and quantitative data, and provides analytical and multivariate tools.;BambooDirt
AntWordProfiler;description;AntWordProfiler is free software for analyzing word frequency.;BambooDirt
Anvil;description;ANVIL is a free video annotation tool. It offers multi-layered annotation based on a user-defined coding scheme.;BambooDirt
ANNIS;keyword;Apache;TERESAH
Fedora Commons;license;Apache;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;license;Apache;TERESAH
MMax2;license;Apache;TERESAH
Solr;license;Apache;TERESAH
Subversion Version System (SVN);license;Apache;TERESAH
Xalan;license;Apache;TERESAH
Hadoop;description;Apache Hadoop is a software framework and distributed file system, enabling distributed data processing across thousands of computers (nodes) with petabytes of data.;HistoryOnline
Perl;keyword;Apache HTTP server;TERESAH
ANNIS;license;Apache License;TERESAH
Blacklight;license;Apache License;TERESAH
Bootstrap;license;Apache License;TERESAH
Heritrix;license;Apache License;TERESAH
Juxta;license;Apache License;TERESAH
OpenOffice;license;Apache License;TERESAH
Solr;license;Apache License;TERESAH
Subversion Version System (SVN);license;Apache License;TERESAH
Tesseract;license;Apache License;TERESAH
Xalan;license;Apache License;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;description;Apache Lucene is a high-performance, full-featured text search engine library written entirely in Java. It is a technology suitable for nearly any application that requires full-text search, especially cross-platform.;ArtsHumanities
Mac OS X 10.7+, Mac iOS 4.0+;description;Apache Lucene is indexing and search software. It is particularly suitable for indexing text in a variety of file formats. It can also carry out other text analysis functions. Lucene is often used in conjunction with other, closely-related Apache things such as the open-source Solr search server, Hadoop and Mahout.;HistoryOnline
Mahout;description;Apache Mahout is a highly optimised library of machine learning and data mining algorithms, built for scalability. Use cases include Recommendation mining, Clustering, Classification and Frequent itemset mining.;HistoryOnline
ANNIS;developer;Apache Software Foundation;TERESAH
OpenOffice;developer;Apache Software Foundation;TERESAH
Solr;developer;Apache Software Foundation;TERESAH
Subversion Version System (SVN);developer;Apache Software Foundation;TERESAH
Xalan;developer;Apache Software Foundation;TERESAH
Bamboo Services Platform;keyword;API;TERESAH
MIT App Inventor;keyword;app development;TERESAH
iPhoto;developer;Apple;TERESAH
Audacity;keyword;Apple Core Audio Format (CAF);TERESAH
BBEdit;keyword;AppleScript;TERESAH
ScreenFlick;developer;Araelium Group;TERESAH
ArcExplorer;description;ArcExplorer is a custom mapping tool that can be used in a web browser. ArcExplorer allows you to perform a range of basic GIS functions such as display, query and retrieve data.;ArtsHumanities
ArcExplorer;description;"ArcExplorer is a custom mapping tool that can be used in a web browser. ArcExplorer allows you to perform a range of basic GIS functions such as display, query and retrieve data.
Features: 
Display and query a variety of standard data sources including ESRI shapefiles, ArcInfo coverages Images, ArcIMS services
 
Pan and zoom through multiple layers and identify, locate, and query geographic and attribute data.
 
Symbolize data based on attributes contained in the data layers to create thematic maps.
 
Perform basic spatial analysis tasks on the geographic data
 
Freely distributable data";BambooDirt
ArcGis;description;"ArcGIS is a suite of software that comprises of Desktop GIS, Server GIS, Mobile GIS, and Online GIS. ArcGIS is a platform for building a complete geographic information system (GIS) that lets you easily create, edit, and analyse geographic  knowledge on the desktop; publish data, maps, globes and models to a GIS server and/or share them online; and use them on the desktop, on the Web, or in the field.";ArtsHumanities
ArcGis;description;"ArcGIS is a suite of software that comprises of Desktop GIS, Server GIS, Mobile GIS, and Online GIS. ArcGIS is a platform for building a complete geographic information system (GIS) that lets you easily create, edit, and analyse geographic knowledge on the desktop; publish data, maps, globes and models to a GIS server and/or share them online; and use them on the desktop, on the Web, or in the field.

Features: 
View and query maps
 
Manipulate shapefiles and geodatabases
 
Data manipulation, editing and analysis
 
Mobile device enabled";BambooDirt
OpendTect;keyword;archaeology;TERESAH
FOLKER;developer;Archiv fÃ¼r Gesprochenes Deutsch;TERESAH
FocusOPEN Digital Asset Manager;keyword;archival software;TERESAH
Archive-It;description;Archive-It is a subscription web archiving service from the Internet Archive that helps organizations to harvest, build, and preserve collections of digital content. Through our user friendly web application Archive-It partners can collect, catalog, and manage their collections of archived content with 24/7 access and full text search available for their use as well as their patrons. Content is hosted and stored at the Internet Archive data centers.;BambooDirt
Archivematica;description;Archivematica is a digital preservation system that is designed to maintain standards-based, long-term access to collections of digital objects. It uses a micro-services design pattern to provide an integrated suite of software tools that allows users to process digital objects from ingest to access in compliance with the ISO-OAIS functional model. Users monitor and control the micro-services via a web-based dashboard. Archivematica uses METS, PREMIS, Dublin Core and other best practice metadata standards. Archivematica implements media type preservation plans based on an analysis of the significant characteristics of file formats.;BambooDirt
CONTENTdm;keyword;archives;TERESAH
Internet Archive;keyword;archives;TERESAH
Recollection;keyword;archives;TERESAH
ScrapBook;keyword;archives;TERESAH
Omeka.net;keyword;archiving;TERESAH
TwitterPad;keyword;archiving;TERESAH
Google Earth;keyword;Arcview Header (HDR);TERESAH
ARTFL EncyclopÃ©die Project;developer;ARTFL;TERESAH
PAIR (Pairwise Alignment for Intertextual Relations);developer;ARTFL;TERESAH
PhiloLine;developer;ARTFL;TERESAH
Philologic;developer;ARTFL;TERESAH
Philomine;developer;ARTFL;TERESAH
Google Scholar;keyword;articles;TERESAH
Screenr;developer;Articulate Network;TERESAH
Gamera;keyword;artificial intelligence;TERESAH
ARTISAN;description;"ARTISAN (Automatic Retrieval of Trademark Images by Shape Analysis) is a software tool for the analysis and comparison of still image files. It uses a Content-based image retrieval (CBIR) technique to analyse the visual content of an image, contrasting against alternative methods that involve searching of associated metadata. The software builds upon the principles of Gestalt psychology, analysing an image in its entirety and locating images to which it has a broad resemblance. The cross-matching activity may be described as a form of ""fuzzy searchingâ€™, retrieving images on the basis that they look similar to a human observer.";ArtsHumanities
Perl;license;Artistic License;TERESAH
arts-humanities.net;description;"arts-humanities.net aims to support and advance the use and understanding of digital tools and methods for research and teaching in the arts and humanities by providing information on projects creating and using digital content; tools and methods to answer research questions; a listing of expert centers and individual researchers; and a library documenting lessons learned through case students, briefing papers, and a bibliography.";BambooDirt
Adobe Flash;keyword;asc;TERESAH
CHET-C (Chapel Hill Electronic Text-Converter);standard;ASCII;TERESAH
Pie-Slice;standard;ASCII;TERESAH
TextPad;standard;ASCII;TERESAH
AskSam;description;askSam is an application to organize information. You may use askSam to turn email, word processing documents, text files, spreadsheets and Web pages into a searchable database.;BambooDirt
Adobe Flash;keyword;aso;TERESAH
Adobe Dreamweaver;keyword;ASP;TERESAH
Pie-Slice;keyword;assemblage;TERESAH
SPITBOL;keyword;assembly-language;TERESAH
Atlas.ti;developer;ATLAS.ti Scientific Software Development GmbH;TERESAH
JIRA;developer;Atlassian;TERESAH
Omeka.net;keyword;ATOM;TERESAH
Ruby on Rails;keyword;ATOM;TERESAH
Ruby on Rails;keyword;ATOM;TERESAH
Attensity;developer;Attensity;TERESAH
Audacity;description;Audacity is a free, easy-to-use and multilingual audio editor and recorder.;BambooDirt
Audacity;keyword;audio;TERESAH
Audacity;keyword;audio;TERESAH
SoundScriber;keyword;audio;TERESAH
Wavesurfer;keyword;audio;TERESAH
Audacity;standard;Audio Interchange File Format (AIFF);TERESAH
Pro Tools;standard;Audio Interchange File Format (AIFF);TERESAH
Pro Tools;keyword;Audio mixing;TERESAH
Pro Tools;keyword;Audio mixing;TERESAH
Wavesurfer;keyword;Audio mixing;TERESAH
SoundScriber;keyword;audio playback;TERESAH
FOLKER;keyword;audio recording;TERESAH
iAnnotate;keyword;audio recording;TERESAH
Jing;keyword;audio recording;TERESAH
Pro Tools;keyword;audio recording;TERESAH
ReDBox;developer;Australian National Data Service;TERESAH
Adobe Flash;keyword;authoring environment;TERESAH
Adobe Flash;description;Authoring environment for interactive content on desktops, televisions, smartphones and tablets;BambooDirt
Adobe Flash;tool-type;Authoring interactive works;TERESAH
Flashcard Machine;tool-type;Authoring interactive works;TERESAH
iSpring;tool-type;Authoring interactive works;TERESAH
pachyderm;tool-type;Authoring interactive works;TERESAH
Rwui;tool-type;Authoring interactive works;TERESAH
Scratch;tool-type;Authoring interactive works;TERESAH
EATS;keyword;Authority Access;TERESAH
EATS;keyword;Authority Control;TERESAH
Autodesk 3ds Max;developer;Autodesk;TERESAH
Autodesk 3ds Max;description;"Autodesk 3ds Max (formerly 3D Studio MAX) is an open source graphics software tool used by video game developers, motion picture studios and architectural visualisers for modelling and animation projects. One of the most advanced 3D modelling tools in the industry, 3ds Max has been utilised by many CGI-animated films such as Avatar and 2012 to generate computer graphics alongside live acting.

Features: 
Create parametric and organic objects with polygonal and freeform tools
  Character Studio enables life-like virtual character animation
  Scene Explorer provides hierarchical views of complex scene data and analysis
  Wide range of creative textures, planar mapping and layering options
  MAXScript built-in scripting language automates repetitive tasks and assists with new tool and interface development
  Multiple user collaborations
  Customisable and intutive user interface";BambooDirt
Adobe Illustrator;keyword;Autodesk Drawing eXchange Format (DXF);TERESAH
3DVIA Virtools;keyword;Autodesk Maya;TERESAH
3DVIA Virtools;keyword;Autodesk SoftImage (XSI);TERESAH
WordFreak;keyword;automatic annotation;TERESAH
Awesome Highlighter;description;Awesome Highlighter enables you to highlight text on a web page and then provides you with a link to the highlighted page.;BambooDirt
CamStudio;standard;AVI;TERESAH
Plone;keyword;AWK;TERESAH
Zandy;developer;Avram Lyon;TERESAH
Insync;keyword;backup;TERESAH
Balsamiq Mockups;description;Balsamiq Mockups is a simple, flexible, and collaborative software for building wireframes for websites, apps, and other digital media.;BambooDirt
Balsamiq Mockups;developer;Balsamiq Studios;TERESAH
Bamboo HUBzero Work Space;keyword;Bamboo Content Interoperability Hub;TERESAH
Bamboo Person Service;keyword;Bamboo Services Platform;TERESAH
BBEdit;developer;Bare Bones Software;TERESAH
Yojimbo;developer;Bare Bones Software;TERESAH
Transcriva;developer;Bartas Technologies;TERESAH
BASE;description;BASE (Bielefeld Academic Search Engine) is a search engine for academic open access web resources that searches materials stored in OAI-PMH (Open Archives Initiative Protocol for Metadata Harvesting) enabled repositories.;BambooDirt
Basis Technology;description;Basis provides natural language processing technology for the analysis of unstructured multilingual text.;BambooDirt
Org Mode;developer;Bastien Guerry;TERESAH
GIMP: GNU Image Manipulation Program;keyword;batch;TERESAH
ImageMagik;keyword;batch;TERESAH
PDFsam (PDF Split and Merge);keyword;batch processing;TERESAH
BatchGeo;description;BatchGeo takes addresses and converts them into coordinates, and maps the results.;BambooDirt
Annie ;keyword;Beginner;TERESAH
Click2map ;keyword;Beginner;TERESAH
Dropbox;keyword;Beginner;TERESAH
GeoCommons;keyword;Beginner;TERESAH
Google chart tools ;keyword;Beginner;TERESAH
Google Drive;keyword;Beginner;TERESAH
Google fusion tables ;keyword;Beginner;TERESAH
Google Topic Modelling Tool;keyword;Beginner;TERESAH
Gruff;keyword;Beginner;TERESAH
Many Eyes ;keyword;Beginner;TERESAH
Marble;keyword;Beginner;TERESAH
NVivo;keyword;Beginner;TERESAH
OS Open Data;keyword;Beginner;TERESAH
OxGarage;keyword;Beginner;TERESAH
oXygen XML editor;keyword;Beginner;TERESAH
Serna Free;keyword;Beginner;TERESAH
Swoogle;keyword;Beginner;TERESAH
TEI Roma;keyword;Beginner;TERESAH
Tiki-Toki;keyword;Beginner;TERESAH
Trello;keyword;Beginner;TERESAH
Vapour;keyword;Beginner;TERESAH
XMLSpy;keyword;Beginner;TERESAH
Papyrological Navigator (PN);developer;Ben Armentor, Hugh Cayless;TERESAH
FromThePage;developer;Ben Brumfield;TERESAH
Textalyser;developer;Bernhard Huber Internet Engineering Company;TERESAH
Quadrigram;developer;Bestiario;TERESAH
Annotorious;keyword;Beta;TERESAH
Archivematica;keyword;Beta;TERESAH
GapVis;keyword;Beta;TERESAH
Kaleidoscope 2.0;keyword;Beta;TERESAH
NodeXL Network Graphs;keyword;Beta;TERESAH
Tackk;keyword;Beta;TERESAH
Text Variation Explorer;keyword;Beta;TERESAH
TexTexture;keyword;Beta;TERESAH
WARCreate;keyword;Beta;TERESAH
LitBlitz Literature Notes Manager;license;Beta (as of January 2013);TERESAH
BibApp;description;BibApp allows you to promote your research, find collaborators on your own campus in your research area, in order to make research more accessible in general. BibApp identifies which publications should be placed on the Web for greater access, and can place publications directly into an institutional repository.;BambooDirt
BibDesk;description;BibDesk allows you to edit and manage your bibliography. It keeps track of the bibliographic information, associated files, and web links.;BambooDirt
Bibliogo;description;Bibliogo is a journal article web app that allows you to create and share bibliographies, manage journal alerts, follow feeds, tag citations, and order articles. Compatible with the iPad.;BambooDirt
BibDesk;tool-type;Bibliographic management;TERESAH
BibDesk;keyword;bibliographic management;TERESAH
BibMe;tool-type;Bibliographic management;TERESAH
BibMe;keyword;bibliographic management;TERESAH
BibServer;tool-type;Bibliographic management;TERESAH
Bibus;tool-type;Bibliographic management;TERESAH
Bibus;keyword;bibliographic management;TERESAH
Bookends;tool-type;Bibliographic management;TERESAH
Bookends;keyword;bibliographic management;TERESAH
JabRef;tool-type;Bibliographic management;TERESAH
Mendeley;tool-type;Bibliographic management;TERESAH
OttoBib;tool-type;Bibliographic management;TERESAH
OttoBib;keyword;bibliographic management;TERESAH
Qnotero;keyword;bibliographic management;TERESAH
Referencer;tool-type;Bibliographic management;TERESAH
RefWorks;tool-type;Bibliographic management;TERESAH
Scanner for Zotero;tool-type;Bibliographic management;TERESAH
Sente;tool-type;Bibliographic management;TERESAH
Zandy;tool-type;Bibliographic management;TERESAH
Zotero;tool-type;Bibliographic management;TERESAH
Zotpress;tool-type;Bibliographic management;TERESAH
ScholarPress Researcher;keyword;bibliography;TERESAH
Bibliopedia;description;"Bibliopedia is an open source, semantic wiki research platform designed to crawl scholarly resources including JSTOR, the Library of Congress, the Arts and Humanities Citation Index, and similar data sources, extract metadata about works cited, convert that data into a semantic web format, aggregate the different repositories, then display the results on a wiki-style website for the scholarly community to verify, add to, annotate, elaborate, and discuss. We envisage Bibliopedia as an open, research-enabling platform designed to unify the many disparate, closed silos of scholarly information available today, and that remain difficult and time-consuming to use. Our first goal was to extract and transform bibliographic data into a linked data format consistent with semantic web requirements, and to create large volumes of cross-references among texts, making digitized scholarly texts exponentially more useful to researchers and to machine analysis. The primary innovations Bibliopedia achieves are: 1) the aggregation and cross-referencing of separate silos of scholarly data; 2) the transformation of that information into a format consistent with the semantic web; and 3) crowd-sourcing the verification and elaboration of that data. Mapping and cross-referencing large-scale, high-volume scholarship also means that unexpected connections can be found and brought to light, along with less-known original works that might otherwise remain unread. Moreover, formatting scholarly references for the semantic web will make this data available to a far broader community and enable unexpected innovations. Bibliopedia will generate custom bibliographies and visualizations based on search results, facilitating a wide variety of scholarly inquiry and discovery. Most importantly, Bibliopedia is designed for ease of use, so as to substantially broaden participation to attract the largest possible range of humanities scholars as its user base, in particular scholars who do not normally use digital tools. 
Bibliopedia provides a RESTful API, SPARQL queries, linked data, Zotero-compatibility, and many other features. Built with Drupal 7, available on github, and served from the cloud for scalability, portability, and reliability, Bibliopedia is open to interested academics and libraries who would like to see what their metadata looks like on the semantic web.";BambooDirt
BibMe;description;BibMe is an automatic bibliography maker that auto-fills information, allowing you to build easily a works cited page. You can download your bibliography in either MLA, APA, Chicago, or Turbian formats.;BambooDirt
BibServer;description;BibServer is a tool for quickly and easily sharing collections of bibliographic metadata.;BambooDirt
Bibus;description;Bibus is a bibliographic management software. You may search, edit, and sort bibliographic records. You can also perform live queries, and insert references and formatting into various Word Processors.;BambooDirt
BASE;developer;Bielefeld University Library;TERESAH
BITEXT;description;Bitext provides multilingual semantic technologies in the field of Text Analyics via API with services like Entity Extraction, Concept Extraction, Sentiment Analysis, and Text Categorisation.;BambooDirt
bitly;description;Bitly is a link shortening service that also helps you share, track, and analyze your links.;BambooDirt
3DVIA Virtools;standard;Bitmap (BMP);TERESAH
Adobe Illustrator;keyword;Bitmap (BMP);TERESAH
Adobe Photoshop;keyword;Bitmap (BMP);TERESAH
ArcExplorer;keyword;Bitmap (BMP);TERESAH
ArcView;keyword;Bitmap (BMP);TERESAH
GIMP: GNU Image Manipulation Program;keyword;Bitmap (BMP);TERESAH
Google Earth;keyword;Bitmap (BMP);TERESAH
NVivo;keyword;Bitmap (BMP);TERESAH
Kaleidoscope 2.0;developer;Black Pixel;TERESAH
Blackboard Scholar;description;Blackboard Scholar is a social bookmarking service customized for education. It allows students and instructors to find educational resources on the Web. Available only to users of the Blackboard Learning System.;BambooDirt
Blacklight;description;Blacklight is an open source Ruby on Rails gem that provides a discovery interface for any Solr index.;BambooDirt
Drupal;keyword;blog;TERESAH
WordPress;keyword;blog;TERESAH
Blogger;description;Blogger is simple blog publishing software owned by Google.;BambooDirt
Blog Analysis Toolkit (BAT);keyword;blogging;TERESAH
Blogger;keyword;blogging;TERESAH
LiveJournal;keyword;blogging;TERESAH
TypePad;keyword;blogging;TERESAH
WordPress;keyword;blogging;TERESAH
Bluefish;description;Bluefish is a powerful editor targeted towards programmers and web designers, with many options to write websites, scripts and programming code. Bluefish supports many programming and markup languages, and it focuses on editing dynamic and interactive websites.;BambooDirt
ABBYY Fine Reader;keyword;BMP;TERESAH
Bookends;description;Bookends is reference management software that allows you to collect, annotate, and cite publications. Bookends performs Internet searches to retrieve references and associated web pages, or find and import references from other locations.;BambooDirt
Blackboard Scholar;tool-type;Bookmarking;TERESAH
Fleck;keyword;bookmarking;TERESAH
iBreadCrumbs.com;tool-type;Bookmarking;TERESAH
iBreadCrumbs.com;keyword;bookmarking;TERESAH
InstaPaper;tool-type;Bookmarking;TERESAH
InstaPaper;keyword;bookmarking;TERESAH
Meaki;tool-type;Bookmarking;TERESAH
Pinboard;tool-type;Bookmarking;TERESAH
Pocket;tool-type;Bookmarking;TERESAH
Pocket;keyword;bookmarking;TERESAH
Trailfire;tool-type;Bookmarking;TERESAH
Snipshot;keyword;bookmarklet;TERESAH
Bookworm;description;Bookworm enables you to graphically explore lexical trends across a huge digital library.;BambooDirt
Annie ;keyword;Both;TERESAH
Dropbox;keyword;Both;TERESAH
Marble;keyword;Both;TERESAH
